Team,Player Name,Age,Nationality,Primary Role,IPL 2026 Salary (Cr),Overseas Status,Status,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Batting Aggression (1-99),Can they keep wickets?,Are they a part time wicketkeeper?,Core Batter,Finisher?,Captaincy,Opener?,Only Opener,hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,IPL Captain Desire,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary),T20 Games,T20 Batting Innings,T20 batting average,T20 runs,T20 strike rate,T20 bowling innings,T20 bowling average,T20 wickets,T20 WK Catches,T20 WK Stumpings,IPL games,IPL runs,IPL average,IPL strike rate,IPL bowling innings,IPL bowling average,IPL wickets
Chennai Super Kings,Akash Madhwal,32.00,India,Bowler (Pace),1.2,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,78,78,7,35,No,No,No,No,65,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,7,4.66,14,45.16,56,27.88,61,--,--,17,8,8,57.14,17,25.65,23
Chennai Super Kings,Akeal Hosein,32.00,West Indies,Bowler (Spinner),2,Overseas,Capped,Spinner,Left Handed Bowler,LHB,67,67,81,81,8,65,No,No,No,No,78,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (2.00 Cr),--,--,SRH (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,285,95,13.23,620,117.57,280,26.59,267,--,--,8,21,0,161.54,8,26.44,9
Chennai Super Kings,Aman Hakim Khan,29.00,India,All-Rounder,0.4,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,75,76,68,71,4,75,No,No,Yes,No,58,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,CSK (40.00 L),--,--,DC (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,10,12.78,115,110.58,1,0,0,--,--,12,115,12.78,110.58,1,--,0
Chennai Super Kings,Anshul Kamboj,25.00,India,Bowler (Pace),3.4,Indian,Capped,Pacer,Right Handed Bowler,RHB,64,64,81,83,6,25,No,No,No,No,58,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (3.40 Cr),CSK (3.40 Cr),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,10,24.67,74,142.31,25,26.32,31,--,--,25,74,24.67,142.31,25,26.32,31
Chennai Super Kings,Ayush Mhatre,18.00,India,Batter,0.3,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,80,92,57,65,7,83,No,No,Yes,No,75,Yes,no,TRUE,TRUE,FALSE,TRUE,FALSE,,CSK (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,33.92,441,183.75,0,0,0,--,--,13,441,33.92,183.75,--,--,--
Chennai Super Kings,Dewald Brevis,22.00,South Africa,Batter,2.2,Overseas,Capped,Spinner,Right Handed Bowler,RHB,81,92,64,70,7,88,No,No,Yes,No,60,No,no,FALSE,TRUE,TRUE,TRUE,FALSE,,CSK (2.20 Cr),--,MI (3.00 Cr),MI (3.00 Cr),MI (3.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,52,26.09,1303,155.24,1,8,1,--,--,27,606,25.25,146.03,1,8,1
Chennai Super Kings,Gurjapneet Singh,27.00,India,Bowler (Pace),2.2,Indian,Uncapped,Pacer,Left Handed Bowler,RHB,0,0,77,78,4,25,No,No,No,No,45,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (2.20 Cr),CSK (2.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,0,0,0,0,8,58.25,4,--,--,8,0,0,0,8,58.25,4
Chennai Super Kings,Jamie Overton,32.00,England,All-Rounder,1.5,Overseas,Capped,Pacer,Right Handed Bowler,RHB,74,74,79,79,7,78,No,No,no,Yes,64,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,,CSK (1.50 Cr),CSK (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,23,16.24,239,141.16,33,20.23,40,--,--,13,151,30.2,162.37,13,23.71,14
Chennai Super Kings,Kartik Sharma,19.00,India,Wicketkeeper-Batter,14.2,Indian,Uncapped,NA,NA,RHB,77,88,0,0,7,85,Yes,No,Yes,No,35,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,CSK (14.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,11,32.78,295,136.58,0,0,0,--,--,11,295,32.78,136.58,--,--,--
Chennai Super Kings,Khaleel Ahmed,28.00,India,Bowler (Pace),4.8,Indian,Capped,Pacer,Left Handed Bowler,RHB,10,15,83,83,8,20,No,No,No,No,40,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (4.80 Cr),CSK (4.80 Cr),DC (5.25 Cr),DC (5.25 Cr),DC (5.25 Cr),SRH (3.00 Cr),SRH (3.00 Cr),SRH (3.00 Cr),SRH (3.00 Cr),DD (10.00 L),DD (10.00 L),--,--,--,--,--,--,--,--,94,9,0.31,3,31.49,94,28.38,107,--,--,76,2,0.4,22.23,76,27.19,91
Chennai Super Kings,Matt Henry,34.00,New Zealand,Bowler (Pace),2,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,81,81,7,35,No,No,No,No,65,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (2.00 Cr),--,--,--,--,--,--,--,--,KXIP (50.00 L),--,CSK (30.00 L),CSK (30.00 L),--,--,--,--,--,--,51,16,5.58,54,90.89,49,26.92,57,--,--,9,7,3.5,70,9,77.75,4
Chennai Super Kings,Matthew Short,30.00,Australia,All-Rounder,1.5,Overseas,Capped,Spinner,Right Handed Bowler,LHB,79,80,72,73,8,85,No,No,Yes,No,72,Yes,no,FALSE,TRUE,TRUE,TRUE,FALSE,,CSK (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,31,20.47,593,142.31,15,22.89,9,--,--,9,177,19.67,123.78,5,--,0
Chennai Super Kings,MS Dhoni,44.00,India,Wicketkeeper-Batter,4,Indian,Uncapped,NA,NA,RHB,77,77,0,0,10,85,Yes,No,Yes,Yes,99,No,no,FALSE,FALSE,FALSE,TRUE,TRUE,No,CSK (4.00 Cr),CSK (4.00 Cr),CSK (12.00 Cr),CSK (12.00 Cr),CSK (12.00 Cr),CSK (15.00 Cr),CSK (15.00 Cr),CSK (15.00 Cr),CSK (15.00 Cr),RPSG (12.50 Cr),RPSG (12.50 Cr),CSK (12.50 Cr),CSK (12.50 Cr),CSK (9.57 Cr),CSK (8.74 Cr),CSK (8.14 Cr),CSK (6.86 Cr),CSK (7.30 Cr),CSK (6.01 Cr),376,327,38.12,7056,134.87,0,0,0,0,0,278,5439,38.3,137.46,--,--,--
Chennai Super Kings,Mukesh Choudhary,29.00,India,Bowler (Pace),0.3,Indian,Uncapped,Pacer,Left Handed Bowler,LHB,0,0,77,79,6,25,No,No,No,No,55,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (30.00 L),CSK (30.00 L),CSK (20.00 L),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,3,8,8,100,24,30.84,25,--,--,24,8,8,100,24,30.84,25
Chennai Super Kings,Nathan Ellis,31.00,Australia,Bowler (Pace),1.5,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,82,82,7,35,No,No,No,No,78,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (2.00 Cr),CSK (2.00 Cr),PBKS (75.00 L),PBKS (75.00 L),PBKS (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,16,6.85,58,67.89,56,20.7,77,--,--,17,19,4.75,76,17,28.74,19
Chennai Super Kings,Noor Ahmad,21.00,Afghanistan,Bowler (Spinner),10,Overseas,Capped,Spinner,Left Handed Bowler,RHB,0,0,84,90,8,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (10.00 Cr),CSK (10.00 Cr),GT (30.00 L),GT (30.00 L),GT (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,30,5.69,116,87.56,76,25.83,81,--,--,51,31,2.82,53.45,51,24.51,61
Chennai Super Kings,Prashant Veer,20.00,India,All-Rounder,14.2,Indian,Uncapped,Spinner,Right Handed Bowler,LHB,72,80,77,84,4,75,No,No,Yes,No,35,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,CSK (14.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,5,45.5,91,135.83,1,0,0,--,--,6,91,45.5,135.83,1,--,0
