Team,Player Name,IPL 2025 Team and Salary,Nationality,Age,IPL 2026 Salary (Cr),Overseas Status,Status,Primary Role,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Can they keep wickets?,Are they a part time wicketkeeper?,Opener?,Finisher?,Captaincy,Batting Aggression (1-99),hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary)
Kolkata Knight Riders,Varun Chakravarthy,KKR (12.00 Cr),India,34,12.00,Indian,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,91,91,9,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,KKR (12.00 Cr),KKR (12.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (4.00 Cr),KKR (4.00 Cr),KXIP (8.40 Cr),--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Sunil Narine,KKR (12.00 Cr),West Indies,38,12.00,Overseas,Capped,All-Rounder,Spinner,Right Handed Bowler,LHB,77,77,88,88,9,No,No,Yes,No,78.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (12.00 Cr),KKR (12.00 Cr),KKR (6.00 Cr),KKR (6.00 Cr),KKR (6.00 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (3.72 Cr),KKR (3.40 Cr),--,--,--,--
Kolkata Knight Riders,Rinku Singh,KKR (13.00 Cr),India,28,13.00,Indian,Capped,Batter,Spinner,Right Handed Bowler,LHB,86,89,61,61,8,No,No,No,Yes,55.00,85.00,FALSE,FALSE,TRUE,TRUE,TRUE,KKR (13.00 Cr),KKR (13.00 Cr),KKR (55.00 L),KKR (55.00 L),KKR (55.00 L),KKR (80.00 L),KKR (80.00 L),KKR (80.00 L),KKR (80.00 L),KXIP (10.00 L),--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Cameron Green,Unsold (0.00 Cr),Australia,27,25.20,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,83,89,79,84,8,No,No,Yes,No,65.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (25.20 Cr),--,RCB (17.50 Cr),MI (17.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Matheesha Pathirana,CSK (13.00 Cr),Sri Lanka,23,18.00,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,83,90,8,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,KKR (18.00 Cr),CSK (13.00 Cr),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Harshit Rana,KKR (4.00 Cr),India,24,4.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,61,68,84,89,7,No,No,No,No,40.00,78.00,FALSE,TRUE,TRUE,TRUE,FALSE,KKR (4.00 Cr),KKR (4.00 Cr),KKR (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Rachin Ravindra,CSK (4.00 Cr),New Zealand,26,2.00,Overseas,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,82,90,76,80,8,No,No,Yes,No,72.00,82.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (2.00 Cr),CSK (4.00 Cr),CSK (1.80 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Kartik Tyagi,GT (0.60 Cr),India,25,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,53,60,81,86,5,No,No,No,No,55.00,35.00,FALSE,TRUE,TRUE,TRUE,FALSE,KKR (30.00 L),--,GT (60.00 L),SRH (4.00 Cr),SRH (4.00 Cr),RR (1.30 Cr),RR (1.30 Cr),--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Finn Allen,Unsold,New Zealand,27,2.00,Overseas,Capped,Batter,NA,NA,RHB,86,89,0,0,8,Yes,Yes,Yes,No,40.00,95.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (2.00 Cr),--,--,RCB (80.00 L),RCB (80.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Rahul Tripathi,CSK (3.40 Cr),India,35,0.75,Indian,Capped,Batter,NA,NA,RHB,79,79,0,0,6,Yes,Yes,Yes,No,65.00,78.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (75.00 L),CSK (3.40 Cr),SRH (8.50 Cr),SRH (8.50 Cr),SRH (8.50 Cr),KKR (60.00 L),KKR (60.00 L),RR (3.40 Cr),RR (3.40 Cr),RPSG (10.00 L),--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Rovman Powell,KKR (1.50 Cr),West Indies,32,1.50,Overseas,Capped,Batter,NA,NA,RHB,81,81,0,0,8,No,No,No,Yes,81.00,85.00,FALSE,FALSE,TRUE,TRUE,TRUE,KKR (1.50 Cr),KKR (1.50 Cr),RR (7.40 Cr),DC (2.80 Cr),DC (2.80 Cr),--,--,--,--,KKR (30.00 L),--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Akash Deep,LSG (8.00 Cr),India,29,1.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,61,61,78,80,7,No,No,No,No,70.00,35.00,FALSE,TRUE,TRUE,TRUE,FALSE,KKR (1.00 Cr),LSG (8.00 Cr),RCB (20.00 L),RCB (20.00 L),RCB (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
